search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,Q99961,SH3GL1,Endophilin-A2,,"SH3G1_HUMAN, SH3GL1, CNSA1, SH3D2B","Cytoplasm, Early endosome membrane, Cell projection, Podosome","Q99961 SH3G1_HUMAN Endophilin-A2 Q99961,B4DRA1,E7EVZ4,M0QZV5,Q99668 EEN fusion partner of MLL, Endophilin-2, Extra eleven-nineteen leukemia fusion gene protein, SH3 domain protein 2B, SH3 domain-containing GRB2-like protein 1 CNSA1, SH3D2B","cell projection, cytoplasm, cytosol, early endosome membrane, glutamatergic synapse, hippocampal mossy fiber to ca3 synapse, podosome, postsynaptic density, presynapse, schaffer collateral - ca1 synapse",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SH3G1_HUMAN,https://cansarblack.icr.ac.uk/target/Q99961/synopsis,,,,,,,,0,,0,1.35,93,,,,,,,,,,
,Q13541,EIF4EBP1,"Eukaryotic translation initiation factor 4E-binding protein 1",,"4EBP1_HUMAN, EIF4EBP1",,"Q13541 4EBP1_HUMAN Eukaryotic translation initiation factor 4E-binding protein 1 Q13541,B2R502,D3DSW8,Q6IBN3 Phosphorylated heat- and acid-stable protein regulated by insulin 1 ","cytoplasm, cytosol, glutamatergic synapse, nucleus, postsynaptic cytosol, protein-containing complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=4EBP1_HUMAN,https://cansarblack.icr.ac.uk/target/Q13541/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q9NVW2,RLIM,"E3 ubiquitin-protein ligase RLIM",2.3.2.27,"RNF12_HUMAN, RLIM, RNF12",Nucleus,"Q9NVW2 RNF12_HUMAN E3 ubiquitin-protein ligase RLIM Q9NVW2,B2RBQ1,D3DTE0,Q96D38,Q9Y598 LIM domain-interacting RING finger protein, RING finger LIM domain-binding protein, RING finger protein 12, RING-type E3 ubiquitin transferase RLIM, Renal carcinoma antigen NY-REN-43 RNF12","cytoplasm, cytosol, nucleoplasm, nucleus, transcription repressor complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RNF12_HUMAN,https://cansarblack.icr.ac.uk/target/Q9NVW2/synopsis,,,,,,,,0,,0,1,90,,,,,,,,,,
,Q9Y230,RUVBL2,"RuvB-like 2",3.6.4.12,"RUVB2_HUMAN, RUVBL2, INO80J, TIP48, TIP49B","Nucleus matrix, Nucleus, Nucleoplasm, Cytoplasm, Membrane, Dynein axonemal particle","Q9Y230 RUVB2_HUMAN RuvB-like 2 Q9Y230,B3KQ59,E7ETE5,Q6FIB9,Q6PK27,Q9Y361 48 kDa TATA box-binding protein-interacting protein, 51 kDa erythrocyte cytosolic protein, INO80 complex subunit J, Repressing pontin 52, TIP49b, TIP60-associated protein 54-beta INO80J, TIP48, TIP49B","centrosome, cytoplasm, cytosol, dynein axonemal particle, euchromatin, extracellular exosome, ino80 complex, membrane, mll1 complex, nua4 histone acetyltransferase complex, nuclear matrix, nucleoplasm, nucleus, r2tp complex, ribonucleoprotein complex, swr1 complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RUVB2_HUMAN,https://cansarblack.icr.ac.uk/target/Q9Y230/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,O14543,SOCS3,"Suppressor of cytokine signaling 3",,"SOCS3_HUMAN, SOCS3, CIS3, SSI3",,"O14543 SOCS3_HUMAN Suppressor of cytokine signaling 3 O14543,O14509 Cytokine-inducible SH2 protein 3, STAT-induced STAT inhibitor 3 CIS3, SSI3","cytosol, phosphatidylinositol 3-kinase complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SOCS3_HUMAN,https://cansarblack.icr.ac.uk/target/O14543/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,O43791,SPOP,"Speckle-type POZ protein",,"SPOP_HUMAN, SPOP","Nucleus, Nucleus speckle","O43791 SPOP_HUMAN Speckle-type POZ protein O43791,B2R6S3,D3DTW7,Q53HJ1 HIB homolog 1, Roadkill homolog 1 ","cul3-ring ubiquitin ligase complex, cytoplasm, nuclear speck, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SPOP_HUMAN,https://cansarblack.icr.ac.uk/target/O43791/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q14204,DYNC1H1,"Cytoplasmic dynein 1 heavy chain 1",,"DYHC1_HUMAN, DYNC1H1, DHC1, DNCH1, DNCL, DNECL, DYHC, KIAA0325","Cytoplasm, Cytoskeleton","Q14204 DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 Q14204,B0I1R0,Q6DKQ7,Q8WU28,Q92814,Q9Y4G5 Cytoplasmic dynein heavy chain 1, Dynein heavy chain, cytosolic DHC1, DNCH1, DNCL, DNECL, DYHC, KIAA0325","axon cytoplasm, azurophil granule lumen, cell cortex, centrosome, cytoplasmic dynein complex, cytoplasmic microtubule, cytosol, dynein complex, extracellular exosome, extracellular region, membrane, microtubule",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=DYHC1_HUMAN,https://cansarblack.icr.ac.uk/target/Q14204/synopsis,,,,,,,,0,,0,1.5,94,,,,,,,,,,
,Q13671,RIN1,"Ras and Rab interactor 1",,"RIN1_HUMAN, RIN1","Cytoplasm, Membrane, Cytoplasm, Cytoskeleton","Q13671 RIN1_HUMAN Ras and Rab interactor 1 Q13671,O15010,Q00427,Q96CC8 Ras inhibitor JC99, Ras interaction/interference protein 1 ","cytoplasm, cytoskeleton, cytosol, plasma membrane",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RIN1_HUMAN,https://cansarblack.icr.ac.uk/target/Q13671/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q92551,IP6K1,"Inositol hexakisphosphate kinase 1",2.7.4.21,"IP6K1_HUMAN, IP6K1, IHPK1, KIAA0263","Cytoplasm, Nucleus","Q92551 IP6K1_HUMAN Inositol hexakisphosphate kinase 1 Q92551,A8K157,A8MUX4,Q7L3I7,Q96E38 Inositol hexaphosphate kinase 1 IHPK1, KIAA0263","cytoplasm, cytosol, fibrillar center, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=IP6K1_HUMAN,https://cansarblack.icr.ac.uk/target/Q92551/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q7KZF4,SND1,"Staphylococcal nuclease domain-containing protein 1",3.1.31.1,"SND1_HUMAN, SND1, TDRD11","Cytoplasm, Nucleus, Melanosome","Q7KZF4 SND1_HUMAN Staphylococcal nuclease domain-containing protein 1 Q7KZF4,Q13122,Q96AG0 100 kDa coactivator, EBNA2 coactivator p100, Tudor domain-containing protein 11, p100 co-activator TDRD11","cytoplasm, cytosol, dense body, extracellular exosome, melanosome, membrane, nucleus, risc complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SND1_HUMAN,https://cansarblack.icr.ac.uk/target/Q7KZF4/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,P14735,IDE,"Insulin-degrading enzyme",3.4.24.56,"IDE_HUMAN, IDE","Cytoplasm, Cytosol, Cell membrane, Secreted","P14735 IDE_HUMAN Insulin-degrading enzyme P14735,B2R721,B7ZAU2,D3DR35,Q5T5N2 Abeta-degrading protease, Insulin protease, Insulysin ","basolateral plasma membrane, cell surface, cytoplasm, cytosol, cytosolic proteasome complex, external side of plasma membrane, extracellular exosome, extracellular space, mitochondrion, nucleus, peroxisomal matrix, peroxisome",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=IDE_HUMAN,https://cansarblack.icr.ac.uk/target/P14735/synopsis,,,,,,,,0,,0,0.25,82,,,,,,,,,,
,P10828,THRB,"Thyroid hormone receptor beta",,"THB_HUMAN, THRB, ERBA2, NR1A2, THR1",Nucleus,"P10828 THB_HUMAN Thyroid hormone receptor beta P10828,B3KU79,P37243,Q13986,Q3KP35,Q6WGL2,Q9UD41 Nuclear receptor subfamily 1 group A member 2, c-erbA-2, c-erbA-beta ERBA2, NR1A2, THR1","chromatin, nuclear body, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=THB_HUMAN,https://cansarblack.icr.ac.uk/target/P10828/synopsis,"100.00|P10828|THRB|DEXTROTHYROXINE,DEXTROTHYROXINE SODIUM,LEVOTHYROXINE,LEVOTHYROXINE SODIUM,LIOTHYRONINE,LIOTHYRONINE SODIUM|Whole:::Protein","100.00|P10828|THRB|DEXTROTHYROXINE,DEXTROTHYROXINE SODIUM,LEVOTHYROXINE,LEVOTHYROXINE SODIUM,LIOTHYRONINE,LIOTHYRONINE SODIUM|Whole:::Protein||82.73|P10827|THRA|DEXTROTHYROXINE,DEXTROTHYROXINE SODIUM,LEVOTHYROXINE,LEVOTHYROXINE SODIUM,LIOTHYRONINE,LIOTHYRONINE SODIUM|Whole:::Protein","100.00|P10828|THRB|DEXTROTHYROXINE,DEXTROTHYROXINE SODIUM,LEVOTHYROXINE,LEVOTHYROXINE SODIUM,LIOTHYRONINE,LIOTHYRONINE SODIUM|Whole:::Protein||82.73|P10827|THRA|DEXTROTHYROXINE,DEXTROTHYROXINE SODIUM,LEVOTHYROXINE,LEVOTHYROXINE SODIUM,LIOTHYRONINE,LIOTHYRONINE SODIUM|Whole:::Protein||47.44|P03372|ESR1|ALLYLESTRENOL,BAZEDOXIFENE,BAZEDOXIFENE ACETATE,CLOMIPHENE,CLOMIPHENE CITRATE,CYCLOFENIL,DANAZOL,DIENESTROL,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL DIPHOSPHATE,ESTRADIOL,ESTRADIOL VALERATE,ESTRADIOL CYPIONATE,ESTRADIOL BENZOATE,ESTRADIOL ACETATE,ESTRIOL,ESTRONE,ESTRONE SULFURIC ACID,ESTROPIPATE,ETHINYL ESTRADIOL,FULVESTRANT,LASOFOXIFENE,MESTRANOL,OSPEMIFENE,POLYESTRADIOL PHOSPHATE,QUINESTROL,TAMOXIFEN,TAMOXIFEN CITRATE,TOREMIFENE,TOREMIFENE CITRATE|Whole:::Protein||42.86|P04150|NR3C1|ALCLOMETASONE DIPROPIONATE,AMCINONIDE,BECLOMETHASONE DIPROPIONATE,BETAMETHASONE,BETAMETHASONE VALERATE,BETAMETHASONE SODIUM PHOSPHATE,BETAMETHASONE PHOSPHORIC ACID,BETAMETHASONE DIPROPIONATE,BETAMETHASONE BENZOATE,BETAMETHASONE ACETATE,BUDESONIDE,CICLESONIDE,CLOBETASOL PROPIONATE,CLOCORTOLONE PIVALATE,CORTISONE ACETATE,CORTIVAZOL,CYPROTERONE ACETATE,DEFLAZACORT,DESONIDE,DESOXIMETASONE,DESOXYCORTICOSTERONE PIVALATE,DESOXYCORTICOSTERONE ACETATE,DEXAMETHASONE,DEXAMETHASONE ACETATE,DEXAMETHASONE PHOSPHORIC ACID,DEXAMETHASONE SODIUM PHOSPHATE,DIFLORASONE DIACETATE,DIFLUPREDNATE,FLUMETHASONE PIVALATE,FLUNISOLIDE,FLUOCINOLONE ACETONIDE,FLUOCINONIDE,FLUOROMETHOLONE,FLUOROMETHOLONE ACETATE,FLUPREDNISOLONE,FLURANDRENOLIDE,FLUTICASONE PROPIONATE,FLUTICASONE FUROATE,HALCINONIDE,HALOBETASOL PROPIONATE,HYDROCORTAMATE,HYDROCORTAMATE HYDROCHLORIDE,HYDROCORTISONE,HYDROCORTISONE VALERATE,HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM PHOSPHATE,HYDROCORTISONE PROBUTATE,HYDROCORTISONE PHOSPHORIC ACID,HYDROCORTISONE HEMISUCCINATE,HYDROCORTISONE HEMISUCCINATE,HYDROCORTISONE CYPIONATE,HYDROCORTISONE BUTYRATE,HYDROCORTISONE ACETATE,LOTEPREDNOL ETABONATE,MEDRYSONE,MEPREDNISONE,METHYLPREDNISOLONE,METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE HEMISUCCINATE,METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACEPONATE,MIFEPRISTONE,PARAMETHASONE ACETATE,MOMETASONE FUROATE,PREDNICARBATE,PREDNISOLONE,PREDNISOLONE TEBUTATE,PREDNISOLONE STEAGLATE,PREDNISOLONE SODIUM PHOSPHATE,PREDNISOLONE PHOSPHORIC ACID,PREDNISOLONE ACETATE,PREDNISONE,RIMEXOLONE,TRIAMCINOLONE,TRIAMCINOLONE HEXACETONIDE,TRIAMCINOLONE DIACETATE,TRIAMCINOLONE ACETONIDE|Whole:::Protein||40.00|P06401|PGR|ALLYLESTRENOL,CHLORMADINONE ACETATE,DROSPIRENONE,CYPROTERONE ACETATE,DANAZOL,DESOGESTREL,DYDROGESTERONE,ETONOGESTREL,ETHYNODIOL DIACETATE,HYDROXYPROGESTERONE CAPROATE,LEVONORGESTREL,MEDROXYPROGESTERONE ACETATE,MEGESTROL ACETATE,MIFEPRISTONE,NORELGESTROMIN,NORETHINDRONE,NORETHINDRONE ACETATE,NORETHYNODREL,NORGESTIMATE,NORGESTREL,ONAPRISTONE,PROGESTERONE,SEGESTERONE ACETATE,ULIPRISTAL,ULIPRISTAL ACETATE|Whole:::Protein||37.18|P10826|RARB|ACITRETIN,ADAPALENE,ALITRETINOIN,BEXAROTENE,ETRETINATE,ISOTRETINOIN,TAZAROTENE,TRETINOIN|Whole:::Protein||37.15|P10276|RARA|ALITRETINOIN,ISOTRETINOIN,TRETINOIN|Whole:::Protein||35.42|P13631|RARG|ADAPALENE,ALITRETINOIN,BEXAROTENE,ETRETINATE,ISOTRETINOIN,TAZAROTENE,TRETINOIN,TRIFAROTENE|Whole:::Protein||35.04|P11473|VDR|ALFACALCIDOL,CALCIFEDIOL,CALCIFEDIOL,CALCIPOTRIENE,CALCITRIOL,CHOLECALCIFEROL,DIHYDROTACHYSTEROL,DOXERCALCIFEROL,ERGOCALCIFEROL,PARICALCITOL|Whole:::Protein",,,,,0,,0,0.95,90,,,,,,,,,,
,Q05397,PTK2,"Focal adhesion kinase 1",2.7.10.2,"FAK1_HUMAN, PTK2, FAK, FAK1","Cell junction, Focal adhesion, Cell membrane, Cytoplasm, Cell cortex, Cytoplasm, Cytoskeleton, Cytoplasm, Cytoskeleton, Microtubule organizing center, Centrosome, Nucleus, Cytoplasm, Cytoskeleton, Cilium basal body","Q05397 FAK1_HUMAN Focal adhesion kinase 1 Q05397,B4E2N6,F5H4S4,J3QT16,Q14291,Q8IYN9,Q9UD85 Focal adhesion kinase-related nonkinase, Protein phosphatase 1 regulatory subunit 71, Protein-tyrosine kinase 2, p125FAK, pp125FAK FAK, FAK1","cell cortex, ciliary basal body, cytoplasm, cytoskeleton, cytosol, dendritic spine, extrinsic component of cytoplasmic side of plasma membrane, focal adhesion, intracellular membrane-bounded organelle, nucleus, plasma membrane, stress fiber",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FAK1_HUMAN,https://cansarblack.icr.ac.uk/target/Q05397/synopsis,45.88|P21709|EPHA1|VANDETANIB|Whole:::Protein,,"45.88|P21709|EPHA1|VANDETANIB|Whole:::Protein||43.28|P54756|EPHA5|VANDETANIB|Whole:::Protein||42.96|P54762|EPHB1|VANDETANIB|Whole:::Protein||42.54|P54764|EPHA4|VANDETANIB|Whole:::Protein||42.22|P29323|EPHB2|VANDETANIB|Whole:::Protein||42.17|P35968|KDR|AXITINIB,CABOZANTINIB,CABOZANTINIB S-MALATE,LENVATINIB,LENVATINIB MESYLATE,MIDOSTAURIN,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,RAMUCIRUMAB,REGORAFENIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,AV9,VANDETANIB|Whole:::Protein||41.83|P08631|HCK|BOSUTINIB,DASATINIB,VANDETANIB|Whole:::Protein||41.76|P29322|EPHA8|VANDETANIB|Whole:::Protein||41.55|P54760|EPHB4|VANDETANIB|Whole:::Protein||41.29|P12931|SRC|BOSUTINIB,DASATINIB,VANDETANIB|Whole:::Protein||41.29|P07948|LYN|DASATINIB,VANDETANIB|Whole:::Protein||41.11|Q15375|EPHA7|VANDETANIB|Whole:::Protein||41.11|P54753|EPHB3|VANDETANIB|Whole:::Protein||40.96|P35916|FLT4|AXITINIB,CABOZANTINIB,CABOZANTINIB S-MALATE,LENVATINIB,LENVATINIB MESYLATE,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,Selpercatinib,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,AV9,VANDETANIB|Whole:::Protein||40.75|P51451|BLK|DASATINIB,VANDETANIB|Whole:::Protein||40.73|P00519|ABL1|BOSUTINIB,DASATINIB,IMATINIB,IMATINIB MESYLATE,NILOTINIB,NILOTINIB HYDROCHLORIDE MONOHYDRATE,PONATINIB,PONATINIB HYDROCHLORIDE,REGORAFENIB|Whole:::Protein||40.72|P36888|FLT3|BRIGATINIB,FEDRATINIB,FEDRATINIB HYDROCHLORIDE,GILTERITINIB FUMARATE,GILTERITINIB,MIDOSTAURIN,PEXIDARTINIB,PEXIDARTINIB HYDROCHLORIDE,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||40.52|P29317|EPHA2|DASATINIB,VANDETANIB|Whole:::Protein||40.38|P09619|PDGFRB|AXITINIB,BECAPLERMIN,DASATINIB,IMATINIB,IMATINIB MESYLATE,MIDOSTAURIN,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||40.24|P17948|FLT1|AXITINIB,CABOZANTINIB,CABOZANTINIB S-MALATE,LENVATINIB,LENVATINIB MESYLATE,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,Selpercatinib,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,AV9,VANDETANIB|Whole:::Protein||40.15|P07947|YES1|DASATINIB,VANDETANIB|Whole:::Protein||40.07|P08069|IGF1R|BRIGATINIB,MECASERMIN,MECASERMIN RINFABATE,MECASERMIN RINFABATE,SOMATROPIN|Whole:::Protein||40.00|P16234|PDGFRA|AVAPRITINIB,AXITINIB,MIDOSTAURIN,NILOTINIB,NILOTINIB HYDROCHLORIDE MONOHYDRATE,NINTEDANIB,NINTEDANIB ESYLATE,OLARATUMAB,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,RIPRETINIB,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||39.72|P29320|EPHA3|VANDETANIB|Whole:::Protein||39.71|Q15303|ERBB4|AFATINIB,AFATINIB DIMALEATE,DACOMITINIB,DACOMITINIB,NERATINIB,NERATINIB MALEATE,VANDETANIB|Whole:::Protein||39.66|P08922|ROS1|BRIGATINIB,ENTRECTINIB,LORLATINIB|Whole:::Protein||39.33|P06241|FYN|DASATINIB,VANDETANIB|Whole:::Protein||39.18|P06239|LCK|DASATINIB,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,VANDETANIB|Whole:::Protein||39.07|P04626|ERBB2|TRASTUZUMAB EMTANSINE,AFATINIB,AFATINIB DIMALEATE,DACOMITINIB,DACOMITINIB,LANREOTIDE,LANREOTIDE ACETATE,LAPATINIB,LAPATINIB DITOSYLATE,NERATINIB,NERATINIB MALEATE,PERTUZUMAB,TRASTUZUMAB,TRASTUZUMAB DERUXTECAN,TRASTUZUMAB,TUCATINIB,VANDETANIB|Whole:::Protein||39.05|P07333|CSF1R|PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEXIDARTINIB,PEXIDARTINIB HYDROCHLORIDE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||39.04|Q07912|TNK2|ENTRECTINIB|Whole:::Protein||38.93|P10721|KIT|AVAPRITINIB,AXITINIB,DASATINIB,IMATINIB,IMATINIB MESYLATE,MIDOSTAURIN,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEXIDARTINIB,PEXIDARTINIB HYDROCHLORIDE,REGORAFENIB,RIPRETINIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||38.89|P22455|FGFR4|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE|Whole:::Protein||38.60|P06213|INSR|INSULIN DETEMIR,INSULIN ASPART,INSULIN GLARGINE,INSULIN LISPRO,INSULIN PORK,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP ISOPHANE BEEF,INSULIN ZINC SUSP PURIFIED BEEF,INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN GLULISINE,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN PURIFIED BEEF,INSULIN PURIFIED PORK,INSULIN,INSULIN ZINC SUSP PURIFIED BEEF/PORK,INSULIN SUSP ISOPHANE BEEF/PORK,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,INSULIN ZINC SUSP BEEF,INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP PROMPT PURIFIED PORK,INSULIN ZINC SUSP RECOMBINANT HUMAN,INSULIN ZINC SUSP PURIFIED PORK,INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN SUSP ISOPHANE PURIFIED PORK,INSULIN ASPART PROTAMINE RECOMBINANT,INSULIN,INSULIN GLARGINE,INSULIN GLULISINE|Whole:::Protein||38.52|P00533|EGFR|AFATINIB,AFATINIB DIMALEATE,CETUXIMAB,DACOMITINIB,DACOMITINIB,ERLOTINIB,ERLOTINIB HYDROCHLORIDE,GEFITINIB,LAPATINIB,LAPATINIB DITOSYLATE,NECITUMUMAB,NERATINIB,NERATINIB MALEATE,OSIMERTINIB,OSIMERTINIB MESYLATE,PANITUMUMAB,REGORAFENIB,VANDETANIB|Whole:::Protein||38.43|Q9UM73|ALK|ALECTINIB,ALECTINIB HYDROCHLORIDE,BRIGATINIB,CERITINIB,CRIZOTINIB,ENTRECTINIB,LORLATINIB|Whole:::Protein||38.41|P42685|FRK|DASATINIB,REGORAFENIB,VANDETANIB|Whole:::Protein||38.40|P09769|FGR|DASATINIB,VANDETANIB|Whole:::Protein||37.87|Q9H3Y6|SRMS|DASATINIB,VANDETANIB|Whole:::Protein||37.76|Q16620|NTRK2|CENEGERMIN,ENTRECTINIB,LAROTRECTINIB,LAROTRECTINIB SULFATE|Whole:::Protein||37.32|P43405|SYK|FOSTAMATINIB,FOSTAMATINIB DISODIUM|Whole:::Protein||37.05|P29597|TYK2|TOFACITINIB,TOFACITINIB CITRATE,UPADACITINIB|Whole:::Protein||36.86|Q08881|ITK|PAZOPANIB,PAZOPANIB HYDROCHLORIDE|Whole:::Protein||36.84|P04629|NTRK1|CENEGERMIN,ENTRECTINIB,LAROTRECTINIB,LAROTRECTINIB SULFATE|Whole:::Protein||36.46|P23458|JAK1|BARICITINIB,RUXOLITINIB,RUXOLITINIB PHOSPHATE,TOFACITINIB,TOFACITINIB CITRATE,UPADACITINIB|Whole:::Protein||36.45|Q9UF33|EPHA6|VANDETANIB|Whole:::Protein||36.15|P21802|FGFR2|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PALIFERMIN,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,REGORAFENIB,VANDETANIB|Whole:::Protein||35.90|P52333|JAK3|BARICITINIB,TOFACITINIB,TOFACITINIB CITRATE,UPADACITINIB|Whole:::Protein||35.81|P11362|FGFR1|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,VANDETANIB|Whole:::Protein||35.81|Q16288|NTRK3|CENEGERMIN,ENTRECTINIB,LAROTRECTINIB,LAROTRECTINIB SULFATE|Whole:::Protein||35.71|P22607|FGFR3|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,VANDETANIB|Whole:::Protein||35.61|P08581|MET|CABOZANTINIB,CABOZANTINIB S-MALATE,CAPMATINIB,CAPMATINIB HYDROCHLORIDE,CRIZOTINIB|Whole:::Protein||35.40|O60674|JAK2|BARICITINIB,ENTRECTINIB,FEDRATINIB,FEDRATINIB HYDROCHLORIDE,RUXOLITINIB,RUXOLITINIB PHOSPHATE,TOFACITINIB,TOFACITINIB CITRATE,UPADACITINIB|Whole:::Protein",,,,,0,,0,1.05,91,,,,,,,,,,
,P02545,LMNA,Prelamin-A/C,,"LMNA_HUMAN, LMNA, LMN1","Nucleus, Nucleus envelope, Nucleus lamina, Nucleus, Nucleoplasm, Nucleus matrix, Nucleus speckle","P02545 LMNA_HUMAN Prelamin-A/C P02545,B4DI32,D3DVB0,D6RAQ3,E7EUI9,P02546,Q5I6Y4,Q5I6Y6,Q5TCJ2,Q5TCJ3,Q6UYC3,Q969I8,Q96JA2  LMN1","cytosol, intermediate filament, lamin filament, nuclear body, nuclear envelope, nuclear lamina, nuclear matrix, nuclear membrane, nuclear speck, nucleoplasm, nucleus, perinuclear region of cytoplasm, site of double-strand break",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=LMNA_HUMAN,https://cansarblack.icr.ac.uk/target/P02545/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q9UJX6,ANAPC2,"Anaphase-promoting complex subunit 2",,"ANC2_HUMAN, ANAPC2, APC2, KIAA1406",,"Q9UJX6 ANC2_HUMAN Anaphase-promoting complex subunit 2 Q9UJX6,Q5VSG1,Q96DG5,Q96GG4,Q9P2E1 Cyclosome subunit 2 APC2, KIAA1406","anaphase-promoting complex, cytosol, nucleoplasm",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ANC2_HUMAN,https://cansarblack.icr.ac.uk/target/Q9UJX6/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
